"ticker","sector","ps","eps_grn5yrs","gm","om","pm","pr","tgt_pr","pps","deltaps","ppr","R2"
"AAPL","Consumer Goods",2.89,0.0785,0.395,0.285,0.217,115.57,123.66,3.43,0.5,137,0.64
"ADM","Consumer Goods",0.4,0.0633,0.056,0.021,0.024,42.28,44.78,0.13,-0.3,13,0.64
"AVY","Consumer Goods",1.18,0.1103,0.278,0.072,0.052,76.84,85.8,1.51,0.3,98,0.64
"BF-B","Consumer Goods",6.19,0.05,0.69,0.498,0.346,45.62,NA,5.91,-0.3,43,0.64
"BLL","Consumer Goods",1.83,0.097,0.202,0.049,0.04,78.3,84,1.01,-0.8,43,0.64
"BWA","Consumer Goods",0.92,0.1055,0.21,0.113,0.071,35.09,38.93,1.61,0.7,61,0.64
"CAG","Consumer Goods",1.71,0.0728,0.271,0.077,-0.059,43.66,51.1,1.31,-0.4,33,0.64
"CCE","Consumer Goods",2.83,0.1125,0.371,0.12,0.082,39.74,43.98,2.2,-0.6,30,0.64
"CHD","Consumer Goods",3.59,0.0985,0.454,0.206,0.131,47.11,50.54,3.08,-0.5,40,0.64
"CL","Consumer Goods",4.27,0.0737,0.595,0.181,0.09,72.1,76.38,3.16,-1.1,53,0.64
"CLX","Consumer Goods",2.85,0.0795,0.451,0.171,0.112,122.54,128.09,2.67,-0.2,114,0.64
"COH","Consumer Goods",2.28,0.0878,0.68,0.145,0.103,35.87,44.35,3.22,0.9,50,0.64
"CPB","Consumer Goods",2.21,0.0496,0.345,0.116,0.071,55.78,59.67,1.72,-0.5,43,0.64
"DLPH","Consumer Goods",1.24,0.1263,0.199,0.1,0.081,69.11,84.07,1.59,0.4,88,0.64
"DPS","Consumer Goods",2.72,0.0945,0.598,0.218,0.13,90.22,98.6,3.6,0.9,119,0.64
"ECL","Consumer Goods",2.68,0.1179,0.475,0.115,0.072,118.08,127.06,2.52,-0.2,111,0.64
"EL","Consumer Goods",2.87,0.105,0.806,0.143,0.099,87.86,NA,3.69,0.8,112,0.64
"F","Consumer Goods",0.32,0.0895,0.146,0.062,0.058,12.11,13.59,0.9,0.6,34,0.64
"FBHS","Consumer Goods",1.93,0.1573,0.351,0.12,0.078,57.83,64.6,2.41,0.5,72,0.64
"FL","Consumer Goods",1.18,0.0917,0.339,0.114,0.073,65.9,75.37,1.93,0.8,107,0.64
"FOSL","Consumer Goods",0.43,-0.0257,0.53,0.063,0.045,27,28.33,1.41,1,88,0.64
"GIS","Consumer Goods",2.46,0.0666,0.353,0.163,0.102,65.54,68.93,2.23,-0.2,59,0.64
"GM","Consumer Goods",0.32,0.1025,0.132,0.053,0.079,31.12,36.47,0.86,0.5,83,0.64
"GT","Consumer Goods",0.56,0.0649,0.268,0.053,0.018,32.39,34.33,1.06,0.5,61,0.64
