"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Price","Target Price"
"A","Healthcare","Medical Laboratories & Research",15442.78,3.74,14.65%,-7.60%,10.70%,-5.80%,8.20%,52.00%,14.30%,11.70%,45.44,50.54
"AA","Basic Materials","Aluminum",13131.39,0.62,29.84%,-26.10%,8.65%,1.40%,1.40%,18.20%,1.80%,-2.70%,9.47,11.33
"AAAP","Healthcare","Diagnostic Substances",1365.16,12.10,15.90%,0.00%,,,-5.40%,79.60%,-8.10%,-12.90%,34.79,38.02
"AAC","Healthcare","Specialized Health Services",440.59,1.74,12.40%,0.00%,20.00%,,3.90%,,2.60%,1.70%,17.91,27.33
"AADR","Financial","Exchange Traded Fund",,,,,,,,,,,39.65,
"AAL","Services","Major Airlines",19725.12,0.49,-10.00%,57.90%,,13.10%,34.90%,36.20%,15.30%,16.50%,36.41,41.08
"AAMC","Financial","Asset Management",22.66,0.24,,,,,-4.50%,70.10%,-89.60%,-14.30%,13.82,
"AAME","Financial","Life Insurance",67.05,0.41,,55.20%,,9.20%,4.30%,,2.30%,0.70%,3.40,
"AAN","Services","Rental & Leasing Services",1870.25,0.58,9.08%,5.20%,12.00%,11.10%,7.90%,89.40%,7.40%,4.10%,25.01,32.00
"AAOI","Technology","Semiconductor - Integrated Circuits",378.44,1.75,94.12%,34.70%,17.50%,36.20%,5.60%,30.20%,4.30%,2.20%,21.65,23.25
"AAON","Industrial Goods","General Building Materials",1521.59,4.01,11.11%,16.90%,12.00%,8.00%,25.50%,31.20%,20.80%,13.50%,27.56,26.50
"AAP","Services","Auto Parts Stores",11392.42,1.19,10.91%,10.10%,10.61%,10.40%,14.90%,45.00%,8.30%,4.80%,148.94,163.11
"AAPC","Conglomerates","Conglomerates",107.63,,,,,,,,,,10.45,
"AAPL","Consumer Goods","Electronic Equipment",637174.39,2.89,7.70%,33.60%,7.85%,29.10%,28.30%,39.50%,28.50%,21.70%,114.90,123.66
"AAT","Financial","REIT - Retail",1993.80,6.99,30.00%,129.10%,5.30%,18.50%,5.10%,63.80%,33.20%,13.00%,42.17,47.80
"AAU","Basic Materials","Gold",118.50,394.99,,25.40%,,5.30%,-3.20%,,,,1.39,
"AAV","Basic Materials","Oil & Gas Drilling & Exploration",1311.61,14.04,10766.67%,-12.90%,61.23%,-14.30%,1.50%,82.70%,2.30%,3.60%,6.73,7.99
"AAWW","Services","Air Services, Other",992.40,0.56,13.59%,-44.30%,10.00%,6.40%,2.30%,75.80%,0.20%,-1.60%,38.63,53.00
"AAXJ","Financial","Exchange Traded Fund",,,,,,,,,,,59.64,
"AB","Financial","Asset Management",2201.17,10.33,12.84%,7.40%,4.07%,5.50%,11.80%,,100.00%,89.10%,22.73,25.00
"ABAC","Consumer Goods","Farm Products",71.34,1.95,,0.00%,,,,,,,2.15,
"ABAX","Healthcare","Medical Laboratories & Research",1143.96,5.12,18.53%,16.40%,17.61%,8.80%,12.80%,56.30%,20.80%,14.10%,48.95,50.25
"ABB","Industrial Goods","Diversified Machinery",50558.45,1.47,9.67%,-4.90%,6.77%,2.40%,10.30%,28.20%,7.70%,4.90%,22.25,20.70
