"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Price","Target Price"
"AAPL","Consumer Goods","Electronic Equipment",615318.38,2.79,8.08%,33.60%,7.83%,29.10%,28.30%,39.50%,28.50%,21.70%,1.59%,4.64%,19.48%,8.23%,2.27%,114.74,125.46
"ACN","Technology","Information Technology Services",73236.10,2.14,9.27%,12.30%,10.07%,7.30%,53.50%,29.60%,15.40%,11.10%,1.73%,-1.81%,-6.16%,4.76%,16.72%,113.63,123.62
"ADBE","Technology","Application Software",54080.77,10.19,32.97%,-3.40%,28.18%,4.80%,7.40%,85.10%,22.40%,16.90%,9.10%,7.52%,14.65%,16.95%,27.31%,107.50,112.92
"ADI","Technology","Semiconductor - Integrated Circuits",19651.48,5.79,13.00%,-1.10%,6.70%,4.50%,12.10%,64.80%,23.00%,19.50%,3.91%,-0.19%,12.08%,10.03%,18.04%,63.60,73.15
"ADS","Services","Business Services",12674.73,1.87,12.90%,20.30%,13.33%,18.20%,6.30%,41.40%,19.50%,7.20%,1.14%,7.52%,7.82%,2.78%,-14.56%,217.55,256.55
"ADSK","Technology","Technical & System Software",15857.83,6.86,105.00%,-29.30%,17.60%,5.10%,-9.90%,84.30%,-10.50%,-15.20%,9.43%,13.27%,24.94%,25.14%,52.76%,72.39,66.94
"APH","Technology","Diversified Electronics",19985.31,3.39,10.62%,11.40%,7.40%,9.40%,13.60%,31.90%,19.10%,13.00%,5.05%,5.76%,11.74%,14.66%,29.28%,65.35,63.55
"ATVI","Technology","Multimedia & Graphics Software",33247.88,6.19,9.68%,28.90%,23.44%,1.00%,9.00%,63.40%,21.20%,13.80%,2.31%,11.34%,16.57%,38.22%,43.37%,44.55,46.50
"AVGO","Technology","Semiconductor - Broad Line",68061.07,6.22,19.00%,24.00%,15.97%,26.70%,18.10%,43.90%,-3.60%,-6.70%,0.43%,-3.18%,9.80%,11.69%,37.91%,168.90,201.66
"CRM","Technology","Application Software",51298.44,6.86,34.64%,-21.10%,29.88%,32.10%,0.00%,74.70%,1.90%,2.90%,0.49%,-3.97%,-7.99%,3.34%,3.53%,74.56,94.40
"CSCO","Technology","Networking & Communication Devices",159646.55,3.24,5.64%,12.60%,9.34%,2.60%,11.40%,62.90%,25.70%,21.80%,1.16%,2.38%,10.19%,14.75%,29.05%,31.78,33.04
"CTL","Technology","Telecom Services - Domestic",14746.78,0.83,-6.02%,-12.70%,0.06%,20.50%,6.30%,56.60%,15.40%,5.50%,-1.86%,-5.16%,-1.72%,-9.75%,14.42%,27.37,29.85
"FB","Technology","Internet Information Providers",371063.17,16.74,28.29%,49.30%,35.39%,55.50%,8.40%,85.10%,39.60%,27.10%,1.70%,4.66%,14.07%,15.46%,39.78%,130.22,154.19
