"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Price","Target Price"
"AEE","Utilities","Electric Utilities",12406.56,2.07,8.37%,32.50%,5.20%,-4.40%,6.20%,85.50%,21.80%,10.40%,5.47%,1.84%,0.63%,6.19%,30.90%,50.99,52.79
"AEP","Utilities","Electric Utilities",32290.13,2.02,3.66%,7.30%,2.31%,2.70%,6.30%,82.50%,19.90%,12.50%,3.39%,-0.50%,0.36%,3.44%,25.37%,66.31,72.03
"AWK","Utilities","Water Utilities",13665.06,4.21,7.34%,12.70%,7.60%,4.30%,6.60%,,34.00%,15.10%,4.78%,0.18%,-1.45%,14.75%,46.28%,77.00,77.46
"CMS","Utilities","Electric Utilities",12129.52,1.97,7.98%,6.60%,7.27%,0.10%,6.70%,64.10%,19.20%,8.80%,4.61%,0.97%,0.58%,6.36%,33.89%,43.56,45.10
"CNP","Utilities","Gas Utilities",10344.29,1.48,6.36%,-28.50%,5.26%,-3.40%,10.80%,,13.20%,-10.70%,7.09%,4.71%,4.54%,17.40%,41.92%,24.07,24.08
"D","Utilities","Electric Utilities",47637.19,4.31,2.11%,-9.20%,5.92%,-4.80%,6.30%,96.60%,31.00%,17.40%,4.01%,1.56%,4.99%,6.42%,15.48%,76.65,80.33
"DTE","Utilities","Electric Utilities",17157.15,1.73,4.06%,1.50%,5.35%,3.90%,5.50%,,12.20%,7.50%,4.66%,1.61%,3.10%,8.97%,28.26%,95.72,102.02
"DUK","Utilities","Electric Utilities",56429.10,2.46,2.92%,6.10%,4.35%,10.40%,4.90%,70.00%,22.40%,11.40%,4.11%,0.01%,1.11%,4.75%,23.68%,81.97,85.47
"ED","Utilities","Electric Utilities",23525.72,1.94,4.11%,3.20%,1.98%,-1.20%,6.70%,74.70%,19.70%,9.50%,5.30%,1.71%,2.03%,5.43%,24.69%,78.40,75.04
"EIX","Utilities","Electric Utilities",24450.00,2.16,6.27%,-2.00%,2.26%,2.90%,6.50%,62.40%,15.70%,7.90%,4.41%,0.83%,2.21%,6.14%,26.72%,74.96,79.47
"ES","Utilities","Diversified Utilities",17456.21,2.34,6.64%,4.70%,5.66%,10.20%,6.00%,,23.70%,11.60%,4.12%,0.51%,-1.37%,-2.68%,20.73%,55.55,60.02
"ETR","Utilities","Electric Utilities",14478.08,1.32,-22.01%,-16.50%,-2.14%,0.00%,1.50%,86.80%,-2.50%,1.60%,5.24%,2.56%,5.09%,5.91%,32.51%,81.19,82.25
"EXC","Utilities","Diversified Utilities",32201.40,1.13,2.14%,-8.10%,3.06%,9.60%,6.40%,58.50%,10.60%,4.80%,5.22%,1.22%,2.13%,2.20%,27.28%,34.94,38.35
"FE","Utilities","Electric Utilities",14692.25,0.98,-1.61%,-10.90%,-3.09%,2.40%,4.70%,71.70%,3.90%,-4.00%,5.98%,5.95%,5.77%,-1.82%,16.94%,34.65,36.13
"LNT","Utilities","Electric Utilities",9011.90,2.78,5.98%,5.10%,6.60%,-0.10%,6.60%,94.20%,18.20%,12.20%,5.70%,1.59%,3.50%,11.12%,44.94%,39.73,39.70
"NEE","Utilities","Electric Utilities",58972.59,3.54,5.68%,5.00%,7.19%,2.70%,6.50%,,28.50%,15.50%,4.70%,2.24%,3.40%,9.42%,34.73%,127.91,
"PCG","Utilities","Electric Utilities",31812.31,1.89,-1.59%,-8.70%,5.70%,4.00%,4.50%,67.40%,7.40%,4.50%,3.71%,-1.51%,3.31%,9.75%,27.94%,63.71,67.33
"PEG","Utilities","Diversified Utilities",21890.48,2.31,0.24%,1.50%,1.42%,-2.50%,8.30%,,26.00%,14.80%,5.21%,0.57%,-0.09%,-3.81%,14.24%,43.43,46.97
"PNW","Utilities","Electric Utilities",8721.23,2.47,5.40%,5.30%,3.85%,1.90%,7.30%,,23.70%,12.00%,5.02%,1.56%,2.41%,8.65%,30.54%,78.55,77.71
"PPL","Utilities","Electric Utilities",24004.79,3.22,-6.81%,1.60%,3.24%,-2.10%,7.90%,90.10%,38.20%,23.50%,3.87%,1.17%,-8.84%,-2.36%,19.16%,35.66,37.97
"SCG","Utilities","Electric Utilities",10420.43,2.54,5.36%,11.90%,4.60%,-1.00%,8.50%,72.60%,25.80%,12.90%,5.48%,2.42%,4.25%,10.02%,45.84%,73.84,75.00
"SO","Utilities","Electric Utilities",51536.74,2.96,3.92%,1.90%,3.16%,0.00%,6.30%,71.10%,25.00%,13.40%,3.56%,2.27%,5.70%,7.27%,29.35%,53.23,52.75
"SRE","Utilities","Diversified Utilities",27578.09,2.77,7.17%,13.50%,6.78%,2.50%,5.70%,96.70%,12.00%,9.60%,5.90%,2.33%,1.36%,9.03%,22.08%,110.13,118.92
"WEC","Utilities","Electric Utilities",19725.00,2.69,5.87%,4.10%,6.72%,7.10%,4.30%,64.30%,22.40%,12.10%,4.22%,1.46%,0.19%,7.98%,31.33%,62.45,63.60
"XEL","Utilities","Electric Utilities",21654.97,2.00,5.51%,3.70%,5.42%,1.30%,5.90%,93.10%,19.90%,9.90%,4.39%,0.76%,0.54%,5.17%,29.74%,42.62,43.55
